source,target,count
Deployed,Specification,58
Closed,Specification,41
Applications,Deployed,33
In Progress,Specification,30
Applications,In Progress,25
Consensus (soft fork),Deployed,17
In Progress,Informational,16
Deployed,Informational,16
Peer Services,Deployed,16
Applications,Closed,15
Applications,Complete,13
Complete,Specification,12
Consensus (soft fork),In Progress,11
Consensus (hard fork),Closed,11
Peer Services,Closed,10
Consensus (soft fork),Closed,9
Closed,Informational,8
Other,Closed,7
Other,In Progress,6
Other,Deployed,6
Closed,Process,3
API/RPC,Deployed,3
Complete,Informational,3
Consensus (soft fork),Complete,2
Peer Services,In Progress,2
Consensus (hard fork),In Progress,1
Deployed,Process,1
API/RPC,In Progress,1
